Domain_Time,Duration(s)
2023-03-20 10:32:00,2.25418
2023-03-20 10:32:01,2.18882
2023-03-20 10:32:02,2.26979
2023-03-20 10:32:03,2.19616
2023-03-20 10:32:04,2.18107
2023-03-20 10:32:05,2.21521
2023-03-20 10:32:06,2.21548
2023-03-20 10:32:07,2.15331
2023-03-20 10:32:08,2.15574
2023-03-20 10:32:09,2.24937
2023-03-20 10:32:10,2.35125
2023-03-20 10:32:11,2.17546
2023-03-20 10:32:12,2.18667
2023-03-20 10:32:13,2.20186
2023-03-20 10:32:14,2.18601
2023-03-20 10:32:15,2.21907
2023-03-20 10:32:16,2.17708
2023-03-20 10:32:17,2.21765
2023-03-20 10:32:18,2.18592
2023-03-20 10:32:19,2.24419
2023-03-20 10:32:20,2.149
2023-03-20 10:32:21,2.27817
2023-03-20 10:32:22,2.25513
2023-03-20 10:32:23,2.20322
2023-03-20 10:32:24,2.21181
2023-03-20 10:32:25,2.26402
2023-03-20 10:32:26,2.32528
2023-03-20 10:32:27,2.24106
2023-03-20 10:32:28,2.42016
2023-03-20 10:32:29,2.56645
2023-03-20 10:32:30,2.47883
2023-03-20 10:32:31,2.3484
2023-03-20 10:32:32,2.50578
2023-03-20 10:32:33,53.16676
2023-03-20 10:32:34,2.19993
2023-03-20 10:32:35,2.2686
2023-03-20 10:32:36,2.1809
2023-03-20 10:32:37,2.19392
2023-03-20 10:32:38,2.5036
2023-03-20 10:32:39,2.1876
2023-03-20 10:32:40,2.27202
2023-03-20 10:32:41,2.15481
2023-03-20 10:32:42,2.24885
2023-03-20 10:32:43,2.21443
2023-03-20 10:32:44,2.27902
2023-03-20 10:32:45,2.21046
2023-03-20 10:32:46,2.23826
2023-03-20 10:32:47,2.39928
2023-03-20 10:32:48,2.23067
2023-03-20 10:32:49,2.30402
2023-03-20 10:32:50,2.19498
2023-03-20 10:32:51,2.22722
2023-03-20 10:32:52,2.25027
2023-03-20 10:32:53,2.21473
2023-03-20 10:32:54,2.20953
2023-03-20 10:32:55,2.2171
2023-03-20 10:32:56,2.40144
2023-03-20 10:32:57,2.2351
2023-03-20 10:32:58,2.22507
2023-03-20 10:32:59,2.19973
2023-03-20 10:33:00,2.17543
2023-03-20 10:33:01,2.19782
2023-03-20 10:33:02,2.21282
2023-03-20 10:33:03,2.25461
2023-03-20 10:33:04,2.19207
2023-03-20 10:33:05,2.2054
2023-03-20 10:33:06,2.22778
2023-03-20 10:33:07,2.18321
2023-03-20 10:33:08,2.23563
2023-03-20 10:33:09,2.17521
2023-03-20 10:33:10,2.24623
2023-03-20 10:33:11,2.26017
2023-03-20 10:33:12,2.2582
2023-03-20 10:33:13,2.2488
2023-03-20 10:33:14,2.27323
2023-03-20 10:33:15,2.23493
2023-03-20 10:33:16,2.47925
2023-03-20 10:33:17,2.22025
2023-03-20 10:33:18,2.2776
2023-03-20 10:33:19,2.34071
2023-03-20 10:33:20,2.26658
2023-03-20 10:33:21,2.28076
2023-03-20 10:33:22,2.22371
2023-03-20 10:33:23,2.20606
2023-03-20 10:33:24,2.23943
2023-03-20 10:33:25,2.28993
2023-03-20 10:33:26,2.18091
2023-03-20 10:33:27,2.25893
2023-03-20 10:33:28,2.23265
2023-03-20 10:33:29,2.20307
2023-03-20 10:33:30,2.4686
2023-03-20 10:33:31,2.20677
2023-03-20 10:33:32,2.25191
2023-03-20 10:33:33,53.00458
2023-03-20 10:33:34,2.26476
2023-03-20 10:33:35,2.22026
2023-03-20 10:33:36,2.20604
2023-03-20 10:33:37,2.2561
2023-03-20 10:33:38,2.25346
2023-03-20 10:33:39,2.22526
2023-03-20 10:33:40,2.28896
2023-03-20 10:33:41,2.29857
2023-03-20 10:33:42,2.25535
2023-03-20 10:33:43,2.49504
2023-03-20 10:33:44,2.61354
2023-03-20 10:33:45,2.38985
2023-03-20 10:33:46,2.58604
2023-03-20 10:33:47,2.2879
2023-03-20 10:33:48,2.25321
2023-03-20 10:33:49,2.24158
2023-03-20 10:33:50,2.19315
2023-03-20 10:33:51,2.23172
2023-03-20 10:33:52,2.21229
2023-03-20 10:33:53,2.23386
2023-03-20 10:33:54,2.19764
2023-03-20 10:33:55,2.27172
2023-03-20 10:33:56,2.24553
2023-03-20 10:33:57,2.23471
2023-03-20 10:33:58,2.28054
2023-03-20 10:33:59,2.22653
2023-03-20 10:34:00,2.24624
2023-03-20 10:34:01,2.22106
2023-03-20 10:34:02,2.20582
2023-03-20 10:34:03,2.28161
2023-03-20 10:34:04,2.25293
2023-03-20 10:34:05,2.32997
2023-03-20 10:34:06,2.343
2023-03-20 10:34:07,2.278
2023-03-20 10:34:08,2.33144
2023-03-20 10:34:09,2.23803
2023-03-20 10:34:10,2.27051
2023-03-20 10:34:11,2.25743
2023-03-20 10:34:12,2.28858
2023-03-20 10:34:13,2.25348
2023-03-20 10:34:14,2.25283
2023-03-20 10:34:15,2.26073
2023-03-20 10:34:16,2.28582
2023-03-20 10:34:17,2.27743
2023-03-20 10:34:18,2.26524
2023-03-20 10:34:19,2.26293
2023-03-20 10:34:20,2.21249
2023-03-20 10:34:21,2.2853
2023-03-20 10:34:22,2.29047
2023-03-20 10:34:23,2.2387
2023-03-20 10:34:24,2.27213
2023-03-20 10:34:25,2.27582
2023-03-20 10:34:26,2.2795
2023-03-20 10:34:27,2.28295
2023-03-20 10:34:28,2.24741
2023-03-20 10:34:29,2.48519
2023-03-20 10:34:30,2.32761
2023-03-20 10:34:31,2.30431
2023-03-20 10:34:32,2.48659
2023-03-20 10:34:33,48.5043
2023-03-20 10:34:34,2.27358
2023-03-20 10:34:35,2.28077
2023-03-20 10:34:36,2.27816
2023-03-20 10:34:37,2.31047
2023-03-20 10:34:38,2.26432
2023-03-20 10:34:39,2.44408
2023-03-20 10:34:40,2.26828
2023-03-20 10:34:41,2.45428
2023-03-20 10:34:42,2.32955
2023-03-20 10:34:43,2.27793
2023-03-20 10:34:44,2.2966
2023-03-20 10:34:45,2.48426
2023-03-20 10:34:46,2.32604
2023-03-20 10:34:47,2.48023
2023-03-20 10:34:48,2.27414
2023-03-20 10:34:49,2.23693
2023-03-20 10:34:50,2.27858
2023-03-20 10:34:51,2.55873
2023-03-20 10:34:52,2.2617
2023-03-20 10:34:53,2.26166
2023-03-20 10:34:54,2.25358
2023-03-20 10:34:55,2.33692
2023-03-20 10:34:56,2.25736
2023-03-20 10:34:57,2.32247
2023-03-20 10:34:58,2.28481
2023-03-20 10:34:59,2.28367
2023-03-20 10:35:00,2.34773
2023-03-20 10:35:01,2.36111
2023-03-20 10:35:02,2.31576
2023-03-20 10:35:03,2.28568
2023-03-20 10:35:04,2.33607
2023-03-20 10:35:05,2.3282
2023-03-20 10:35:06,2.32138
2023-03-20 10:35:07,2.29273
2023-03-20 10:35:08,2.27062
2023-03-20 10:35:09,2.45171
2023-03-20 10:35:10,2.32763
2023-03-20 10:35:11,2.32738
2023-03-20 10:35:12,2.45008
2023-03-20 10:35:13,2.29984
2023-03-20 10:35:14,2.32367
2023-03-20 10:35:15,2.2845
2023-03-20 10:35:16,2.29463
2023-03-20 10:35:17,2.29146
2023-03-20 10:35:18,2.34613
2023-03-20 10:35:19,2.29705
2023-03-20 10:35:20,2.32412
2023-03-20 10:35:21,2.31328
2023-03-20 10:35:22,2.34262
2023-03-20 10:35:23,2.5149
2023-03-20 10:35:24,2.34292
2023-03-20 10:35:25,2.30489
2023-03-20 10:35:26,2.57541
2023-03-20 10:35:27,2.43029
2023-03-20 10:35:28,2.33213
2023-03-20 10:35:29,2.31572
2023-03-20 10:35:30,2.28993
2023-03-20 10:35:31,2.5532
2023-03-20 10:35:32,2.57152
2023-03-20 10:35:33,48.30658
2023-03-20 10:35:34,2.31797
2023-03-20 10:35:35,2.35524
2023-03-20 10:35:36,2.29768
2023-03-20 10:35:37,2.29455
2023-03-20 10:35:38,2.29631
2023-03-20 10:35:39,2.35433
2023-03-20 10:35:40,2.32125
2023-03-20 10:35:41,2.28736
2023-03-20 10:35:42,2.34767
2023-03-20 10:35:43,2.30365
2023-03-20 10:35:44,2.28402
2023-03-20 10:35:45,2.30202
2023-03-20 10:35:46,2.33611
2023-03-20 10:35:47,2.29629
2023-03-20 10:35:48,2.30155
2023-03-20 10:35:49,2.30594
2023-03-20 10:35:50,2.33175
2023-03-20 10:35:51,2.31676
2023-03-20 10:35:52,2.30134
2023-03-20 10:35:53,2.30666
2023-03-20 10:35:54,2.33982
2023-03-20 10:35:55,2.26179
2023-03-20 10:35:56,2.30321
2023-03-20 10:35:57,2.70607
2023-03-20 10:35:58,2.32441
2023-03-20 10:35:59,2.29882
2023-03-20 10:36:00,2.50892
2023-03-20 10:36:01,2.35641
2023-03-20 10:36:02,2.25369
2023-03-20 10:36:03,2.3112
2023-03-20 10:36:04,2.27379
2023-03-20 10:36:05,2.30959
2023-03-20 10:36:06,2.33975
2023-03-20 10:36:07,2.36372
2023-03-20 10:36:08,2.32257
2023-03-20 10:36:09,2.28579
2023-03-20 10:36:10,2.29468
2023-03-20 10:36:11,2.26823
2023-03-20 10:36:12,2.30058
2023-03-20 10:36:13,2.29361
2023-03-20 10:36:14,2.35104
2023-03-20 10:36:15,2.25931
2023-03-20 10:36:16,2.31847
2023-03-20 10:36:17,2.50506
2023-03-20 10:36:18,2.52503
2023-03-20 10:36:19,2.35658
2023-03-20 10:36:20,2.31536
2023-03-20 10:36:21,2.5318
2023-03-20 10:36:22,2.34134
2023-03-20 10:36:23,2.34352
2023-03-20 10:36:24,2.58328
2023-03-20 10:36:25,2.29033
2023-03-20 10:36:26,2.54185
2023-03-20 10:36:27,2.35424
2023-03-20 10:36:28,2.35553
2023-03-20 10:36:29,2.29013
2023-03-20 10:36:30,2.47531
2023-03-20 10:36:31,2.58871
2023-03-20 10:36:32,2.58671
2023-03-20 10:36:33,46.90641
2023-03-20 10:36:34,2.34785
2023-03-20 10:36:35,2.30827
2023-03-20 10:36:36,2.46925
2023-03-20 10:36:37,2.30962
2023-03-20 10:36:38,2.32724
2023-03-20 10:36:39,2.57628
2023-03-20 10:36:40,2.37101
2023-03-20 10:36:41,2.32855
2023-03-20 10:36:42,2.32912
2023-03-20 10:36:43,2.31189
2023-03-20 10:36:44,2.29601
2023-03-20 10:36:45,2.37967
2023-03-20 10:36:46,2.35887
2023-03-20 10:36:47,2.31932
2023-03-20 10:36:48,2.34393
2023-03-20 10:36:49,2.38559
2023-03-20 10:36:50,2.3047
2023-03-20 10:36:51,2.5163
2023-03-20 10:36:52,2.29861
2023-03-20 10:36:53,2.54409
2023-03-20 10:36:54,2.34441
2023-03-20 10:36:55,2.29742
2023-03-20 10:36:56,2.31802
2023-03-20 10:36:57,2.45562
2023-03-20 10:36:58,2.34558
2023-03-20 10:36:59,2.59411
2023-03-20 10:37:00,2.34795
2023-03-20 10:37:01,2.29889
2023-03-20 10:37:02,2.32225
2023-03-20 10:37:03,2.36094
2023-03-20 10:37:04,2.36471
2023-03-20 10:37:05,2.50903
2023-03-20 10:37:06,2.3362
2023-03-20 10:37:07,2.38779
2023-03-20 10:37:08,2.61773
2023-03-20 10:37:09,2.30989
2023-03-20 10:37:10,2.35213
2023-03-20 10:37:11,2.3093
2023-03-20 10:37:12,2.32206
2023-03-20 10:37:13,2.32517
2023-03-20 10:37:14,2.32716
2023-03-20 10:37:15,2.32027
2023-03-20 10:37:16,2.33635
2023-03-20 10:37:17,2.46395
2023-03-20 10:37:18,2.2934
2023-03-20 10:37:19,2.28067
2023-03-20 10:37:20,2.32156
2023-03-20 10:37:21,2.32847
2023-03-20 10:37:22,2.47887
2023-03-20 10:37:23,2.27672
2023-03-20 10:37:24,2.38564
2023-03-20 10:37:25,2.36843
2023-03-20 10:37:26,2.31431
2023-03-20 10:37:27,2.29626
2023-03-20 10:37:28,2.52312
2023-03-20 10:37:29,2.29224
2023-03-20 10:37:30,2.31062
2023-03-20 10:37:31,2.28964
2023-03-20 10:37:32,2.26921
2023-03-20 10:37:33,46.1863
2023-03-20 10:37:34,2.31002
2023-03-20 10:37:35,2.39396
2023-03-20 10:37:36,2.35466
2023-03-20 10:37:37,2.39716
2023-03-20 10:37:38,2.27728
2023-03-20 10:37:39,2.3078
2023-03-20 10:37:40,2.31972
2023-03-20 10:37:41,2.30425
2023-03-20 10:37:42,2.28542
2023-03-20 10:37:43,2.28168
2023-03-20 10:37:44,2.33767
2023-03-20 10:37:45,2.37853
2023-03-20 10:37:46,2.28512
2023-03-20 10:37:47,2.33821
2023-03-20 10:37:48,2.28443
2023-03-20 10:37:49,2.32002
2023-03-20 10:37:50,2.41073
2023-03-20 10:37:51,2.29019
2023-03-20 10:37:52,2.50175
2023-03-20 10:37:53,2.42394
2023-03-20 10:37:54,2.5864
2023-03-20 10:37:55,2.23594
2023-03-20 10:37:56,2.30804
2023-03-20 10:37:57,2.30009
2023-03-20 10:37:58,2.38409
2023-03-20 10:37:59,2.34265
2023-03-20 10:38:00,2.28466
2023-03-20 10:38:01,2.27913
